campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
Niagara 1979 by Gene Davis back at Artpark: recreation 2017,9.00E+00,4.00E+00,1.60E+01,2.50E+01,1.30E+01,1.16E+03
Starting up my photo and art business!,1.10E+01,3.00E+00,3.10E+01,2.30E+01,7.00E+00,7.40E+01
Bryan,8.00E+00,3.00E+00,1.60E+01,2.80E+01,1.20E+01,3.06E+02
Make 100: Mary's Vase,2.00E+00,0.00E+00,0.00E+00,2.40E+01,6.00E+00,1.24E+02
Universal sports,6.00E+00,1.00E+00,3.70E+01,2.70E+01,1.20E+01,3.88E+02
Midnight Legion: The World Reborn,3.00E+00,2.00E+00,1.30E+01,2.40E+01,1.30E+01,1.26E+03
The Sweet Spot Bakery - Keep our small town alive,6.00E+00,4.00E+00,1.83E+02,2.30E+01,1.30E+01,1.80E+03
Turmoil of the Seven - Visual Novel,1.00E+01,6.00E+00,2.10E+01,2.40E+01,1.40E+01,1.36E+03
Book Release of my autobiography,7.00E+00,3.00E+00,3.60E+01,2.30E+01,1.10E+01,7.13E+02
Tree Effects Tabletop Light Show Tree,6.00E+00,2.00E+00,8.80E+01,2.10E+01,1.10E+01,1.28E+03
Campaign for West African Cuisine Restaurant.,7.00E+00,6.00E+00,8.50E+01,3.30E+01,1.40E+01,5.82E+02
"iSaid-uSaid, the App",7.00E+00,3.00E+00,1.40E+01,2.40E+01,1.30E+01,8.19E+02
Feminist at 15,5.00E+00,0.00E+00,0.00E+00,2.10E+01,9.00E+00,1.08E+03
Art and Animation Studio,4.00E+00,0.00E+00,0.00E+00,3.00E+01,1.30E+01,8.89E+02
Autonomous Rover,5.00E+00,2.00E+00,2.10E+01,2.40E+01,1.00E+01,1.18E+03
Bat-Rex Soft-Enamel/Lapel Pin,3.00E+00,1.00E+00,3.00E+00,1.60E+01,8.00E+00,6.00E+01
Art that makes your brain happy,7.00E+00,1.00E+00,4.00E+00,1.40E+01,5.00E+00,8.60E+01
The Garifuna - A Hybrid Culture (Documentary),7.00E+00,5.00E+00,3.29E+02,1.00E+01,3.00E+00,4.10E+01
Strange Things Happen | A street magic show by Calen Morelli,7.00E+00,3.00E+00,5.30E+01,2.10E+01,9.00E+00,3.44E+02
MOLD: The First Print Magazine About the Future of Food,1.10E+01,6.00E+00,3.30E+01,2.40E+01,1.50E+01,9.30E+02
The DogFather Chicago Style Hot Dog Cart,1.10E+01,7.00E+00,1.69E+02,1.20E+01,7.00E+00,3.53E+02
Quazmo Fortune Telling Card Game,8.00E+00,2.00E+00,1.30E+01,2.90E+01,1.10E+01,1.83E+02
The Cura Your Life Guidebook,6.00E+00,2.00E+00,3.74E+02,1.60E+01,5.00E+00,7.70E+01
Revision Album Fund,6.00E+00,3.00E+00,2.80E+02,1.70E+01,1.00E+01,4.55E+02
Metots : Totem Spirit Animal Postcard Coloring Book,4.00E+00,3.00E+00,5.00E+01,1.50E+01,8.00E+00,6.17E+02
"LaSaundra's First Readers, Children's Book, Emergent",8.00E+00,4.00E+00,8.70E+01,1.50E+01,1.00E+01,2.25E+02
Custom Bamboo Skateboards,9.00E+00,3.00E+00,1.82E+02,2.40E+01,1.20E+01,3.70E+02
Fashion Emergencies,4.00E+00,2.00E+00,1.50E+01,2.00E+01,6.00E+00,2.11E+02
Spinning top USA,3.00E+00,1.00E+00,2.00E+00,2.70E+01,1.30E+01,1.55E+03
Through the Door - Fan Music by Char (Charlene) MacKay,4.00E+00,1.00E+00,4.00E+00,5.00E+00,3.00E+00,4.60E+01
Soul Fest Des Moines,1.00E+01,3.00E+00,4.10E+01,1.90E+01,1.00E+01,1.08E+03
